Name,Price,Rating,Reviews,URL
"Portronics Beem 440 Smart LED Projector with 720p HD Resolution, Rotatable Design, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 2200 Lumens, Screen Mirroring, 3 Watts Speaker (White)","6,799",4.1,(2.6K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTU3MjY3NzkzMzU0ODQwOjE3Nzk5NTQ0NzU6c3BfYXRmOjMwMDczNzYxMDY3MDgzMjo6MDo6&url=%2FPortronics-Projector-Resolution-Rotatable-Streaming%2Fdp%2FB0CQG7XMXC%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o%26dib_tag%3Dse%26keywords%3DProjectors%26qid%3D1779954475%26refinements%3Dp_123%253A396324%257C415162%252Cp_36%253A-950000%252Cp_72%253A1318476031%26rnid%3D1318475031%26sr%3D8-1-spons%26aref%3DHSUL6UGPxJ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=HSUL6UGPxJ&sp_cr=ZAZ
"Portronics Beem 520 Smart LED Projector with Built-in Stand, Supports 1080p, 2200 Lumens, Ceiling Mountable, Bluetooth & Wi-Fi, Auto Keystone, 720p HD Native, 3W Speaker, Adjustable Height & Angle","7,199",4.0,(98),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MTU3MjY3NzkzMzU0ODQwOjE3Nzk5NTQ0NzU6c3BfYXRmOjMwMTA4MzYzMDk2OTAzMjo6MDo6&url=%2FPortronics-Projector-Mountable-Bluetooth-Adjustable%2Fdp%2FB0DW95W4WF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o%26dib_tag%3Dse%26keywords%3DProjectors%26qid%3D1779954475%26refinements%3Dp_123%253A396324%257C415162%252Cp_36%253A-950000%252Cp_72%253A1318476031%26rnid%3D1318475031%26sr%3D8-2-spons%26aref%3Dea6Xl18STR%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ea6Xl18STR&sp_cr=ZAZ
"Zebronics Android Smart LED Projector, 4K UHD Support, 4000 Lumens, 100"" Screen Size, 240° Tiltable, Auto Keystone, OTT Apps (Netflix, Prime), Miracast, WiFi, BT v5.4, HDMI, USB (Pixaplay 35)","5,999",4.0,(282),https://www.amazon.in/Zebronics-Projector-Tiltable-Keystone-35/dp/B0FSCSQN4D/ref=sr_1_3?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-3
"Portronics Beem 440 Smart LED Projector with 720p HD Resolution, Rotatable Design, Built-in Streaming Apps (Netflix, Prime Video, Hotstar), 2200 Lumens, Screen Mirroring, 3 Watts Speaker (White)","6,799",4.1,(2.6K),https://www.amazon.in/Portronics-Projector-Resolution-Rotatable-Streaming/dp/B0CQG7XMXC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-4
"ZEBRONICS PIXAPLAY 24, Smart LED Vertical Projector, 4000 Lumens, 1080p Support, 160"" Screen Size, Auto Focus & Keystone, Bluetooth, WiFi, HDMI (ARC), USB, AUX, APP Support, Miracast","9,499",4.1,(488),https://www.amazon.in/ZEBRONICS-PIXAPLAY-24-Projector-Bluetooth/dp/B0D98CDJ9B/ref=sr_1_5?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-5
"Portronics Beem 520 Smart LED Projector with Built-in Stand, Supports 1080p, 2200 Lumens, Ceiling Mountable, Bluetooth & Wi-Fi, Auto Keystone, 720p HD Native, 3W Speaker, Adjustable Height & Angle","7,199",4.0,(98),https://www.amazon.in/Portronics-Projector-Mountable-Bluetooth-Adjustable/dp/B0DW95W4WF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-6
"Portronics Beem 470 Mini Smart LED Projector,720p HD,2000 Lumens,Pre-Installed Streaming Apps(Netflix, Prime Video, Hotstar),Auto Keystone,3W Speaker,Adjustable Angle, Wireless Screen Mirroring","7,499",4.1,(2.6K),https://www.amazon.in/Portronics-Projector-Pre-Installed-Streaming-Adjustable/dp/B0DWX7TWKR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-7
"ZEBRONICS PSH01, Projector Tripod Stand, 360° Rotatable, Foldable and Portable Design, Metal Body, 4 Level Height Adjustment, Supports Upto 5kg, Easy to Setup, with 6.35 mm Mounting Screw",999,4.1,(240),https://www.amazon.in/ZEBRONICS-Projector-Rotatable-Foldable-Adjustment/dp/B0DQWY69XX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-8
"Portronics Mport 52 USB C Hub Dock (7-in-1), Multiport Adapter with 4K HDMI, 60 W PD Charging, USB 3.0/2.0 & USB Type-C Data Ports at up to 10 Gbps, microSD & SD Card Reader for Laptops(Grey)",899,4.2,(1.3K),https://www.amazon.in/Portronics-Transfer-Compatible-Enabled-Devices/dp/B0B24W3DJZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-9
"Portronics Twister Metal Laptop Stand with Rotation Base, Angle & Height Adjustable, Improves Air Flow, Metal Alloy Build, 10 KG Max Weight for Laptops (Grey)","1,799",4.0,(99),https://www.amazon.in/Portronics-Twister-Rotation-Adjustable-Improves/dp/B0DK1H61W4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.6lDO7UtKhQruwsJI9aS4IERzMdkbkmJdaMrrwW-heOwyz9KBFGqJUJ98vRPHjxkgPJZGbGqcN6qSE-r_HCeCONgZALnEwy6Zkg21_c8A-nSLOUC_HT1d3aEsJ32bIs_Xm5S1uroGJgNDscOG5IivP60UAY1BhCbUY4xhHLXhg1SgF6v48mkUB-rmvW4lcE_a.tiSnBy2d2gfESp_RNOK1yNrKKo0aMSXXNTw964qan6o&dib_tag=se&keywords=Projectors&qid=1779954475&refinements=p_123%3A396324%7C415162%2Cp_36%3A-950000%2Cp_72%3A1318476031&rnid=1318475031&sr=8-10
